from,to,weight
H,H,1312.5
H,Be,1225.0
H,C,87500.0
H,O,605062500.0
H,Al,36006250.0
H,Si,370125000.0
H,Ca,18156250.0
H,Y,43312.5
H,Er,1531.25
H,Yb,4200.0
Be,H,1225.0
Be,Be,0.875
Be,O,403375.0
Be,Si,246750.0
Be,Y,28.875
Be,Yb,2.8000000000000003
C,H,87500.0
C,C,62.5
C,O,28812500.0
C,Si,17625000.0
C,Ca,2593750.0
C,Y,2062.5
C,Er,218.75
C,Yb,200.0
O,H,605062500.0
O,Be,403375.0
O,C,28812500.0
O,O,864375.0
O,Al,11856343750.0
O,Si,162502500000.0
O,P,151265625.0
O,Ca,5978593750.0
O,Fe,8110718750.0
O,Y,14262187.5
O,Nb,2881250.0
O,Er,504218.75
O,Yb,2766000.0
O,Ta,288125.0
Al,H,36006250.0
Al,O,11856343750.0
Al,Al,25718.75
Al,Si,7252687500.0
Al,Y,848718.75
Al,Yb,82300.0
Si,H,370125000.0
Si,Be,246749.99999999997
Si,C,17625000.0
Si,O,162502500000.0
Si,Al,7252687500.0
Si,Si,352500.0
Si,Ca,3657187500.0
Si,Y,8724375.0
Si,Er,308437.5
Si,Yb,1128000.0
P,O,151265625.0
P,P,328.125
P,Yb,1050.0
Ca,H,18156250.0
Ca,C,2593750.0
Ca,O,5978593750.0
Ca,Si,3657187500.0
Ca,Ca,12968.75
Ca,Y,427968.75
Ca,Er,45390.625
Ca,Yb,41500.0
Fe,O,8110718750.0
Fe,Fe,17593.75
Fe,Nb,351875.0
Fe,Yb,56300.0
Fe,Ta,35187.5
Y,H,43312.5
Y,Be,28.874999999999996
Y,C,2062.5
Y,O,14262187.5
Y,Al,848718.75
Y,Si,8724375.0
Y,Ca,427968.75
Y,Y,30.9375
Y,Er,36.09375
Y,Yb,99.0
Nb,O,2881250.0
Nb,Fe,351875.0
Nb,Nb,6.25
Nb,Yb,20.0
Nb,Ta,12.5
Er,H,1531.25
Er,C,218.75
Er,O,504218.75
Er,Si,308437.5
Er,Ca,45390.625
Er,Y,36.09375
Er,Er,1.09375
Er,Yb,3.5
Yb,H,4200.0
Yb,Be,2.8
Yb,C,200.0
Yb,O,2766000.0
Yb,Al,82300.0
Yb,Si,1128000.0
Yb,P,1050.0
Yb,Ca,41500.0
Yb,Fe,56300.0
Yb,Y,99.0
Yb,Nb,20.0
Yb,Er,3.5
Yb,Yb,6.0
Yb,Ta,2.0
Ta,O,288125.0
Ta,Fe,35187.5
Ta,Nb,12.5
Ta,Yb,2.0
Ta,Ta,0.625
H,H,1312.5
Be,H,1225.0
C,H,87500.0
O,H,605062500.0
Al,H,36006250.0
Si,H,370125000.0
Ca,H,18156250.0
Y,H,43312.5
Er,H,1531.25
Yb,H,4200.0
H,Be,1225.0
Be,Be,0.875
O,Be,403375.0
Si,Be,246750.0
Y,Be,28.875
Yb,Be,2.8000000000000003
H,C,87500.0
C,C,62.5
O,C,28812500.0
Si,C,17625000.0
Ca,C,2593750.0
Y,C,2062.5
Er,C,218.75
Yb,C,200.0
H,O,605062500.0
Be,O,403375.0
C,O,28812500.0
O,O,864375.0
Al,O,11856343750.0
Si,O,162502500000.0
P,O,151265625.0
Ca,O,5978593750.0
Fe,O,8110718750.0
Y,O,14262187.5
Nb,O,2881250.0
Er,O,504218.75
Yb,O,2766000.0
Ta,O,288125.0
H,Al,36006250.0
O,Al,11856343750.0
Al,Al,25718.75
Si,Al,7252687500.0
Y,Al,848718.75
Yb,Al,82300.0
H,Si,370125000.0
Be,Si,246749.99999999997
C,Si,17625000.0
O,Si,162502500000.0
Al,Si,7252687500.0
Si,Si,352500.0
Ca,Si,3657187500.0
Y,Si,8724375.0
Er,Si,308437.5
Yb,Si,1128000.0
O,P,151265625.0
P,P,328.125
Yb,P,1050.0
H,Ca,18156250.0
C,Ca,2593750.0
O,Ca,5978593750.0
Si,Ca,3657187500.0
Ca,Ca,12968.75
Y,Ca,427968.75
Er,Ca,45390.625
Yb,Ca,41500.0
O,Fe,8110718750.0
Fe,Fe,17593.75
Nb,Fe,351875.0
Yb,Fe,56300.0
Ta,Fe,35187.5
H,Y,43312.5
Be,Y,28.874999999999996
C,Y,2062.5
O,Y,14262187.5
Al,Y,848718.75
Si,Y,8724375.0
Ca,Y,427968.75
Y,Y,30.9375
Er,Y,36.09375
Yb,Y,99.0
O,Nb,2881250.0
Fe,Nb,351875.0
Nb,Nb,6.25
Yb,Nb,20.0
Ta,Nb,12.5
H,Er,1531.25
C,Er,218.75
O,Er,504218.75
Si,Er,308437.5
Ca,Er,45390.625
Y,Er,36.09375
Er,Er,1.09375
Yb,Er,3.5
H,Yb,4200.0
Be,Yb,2.8
C,Yb,200.0
O,Yb,2766000.0
Al,Yb,82300.0
Si,Yb,1128000.0
P,Yb,1050.0
Ca,Yb,41500.0
Fe,Yb,56300.0
Y,Yb,99.0
Nb,Yb,20.0
Er,Yb,3.5
Yb,Yb,6.0
Ta,Yb,2.0
O,Ta,288125.0
Fe,Ta,35187.5
Nb,Ta,12.5
Yb,Ta,2.0
Ta,Ta,0.625
