from,to,weight
H,H,4780.0
H,Be,168.0
H,C,68000.0
H,N,380.0
H,O,2203580000.0
H,F,35100.0
H,Na,7080000.0
H,Mg,17242000.0
H,Al,65840000.0
H,Si,208680000.0
H,P,945000.0
H,S,406000.0
H,Cl,34800.0
H,K,4598000.0
H,Ca,28220000.0
H,Ti,1890400.0
H,V,16800.0
H,Cr,8160.0
H,Mn,798000.0
H,Fe,69812000.0
H,Ni,5040.0
H,Cu,49200.0
H,Zn,334600.0
H,As,2124.0
H,Sr,14800.0
H,Y,1980.0
H,Nb,2400.0
H,Ag,1.5
H,Cd,9.0
H,Sn,368.0
H,Sb,20.0
H,Te,0.14
H,Ba,17000.0
H,Ce,1330.0
H,W,25.0
H,Pb,8120.0
H,U,324.0
Li,Li,0.5714285714285714
Li,O,263428.5714285714
Li,Na,6742.857142857142
Li,Si,161142.85714285713
Li,K,11942.857142857141
Li,Mn,542.8571428571428
Li,Zn,40.0
Be,H,167.99999999999997
Be,Be,0.23999999999999996
Be,O,110639.99999999997
Be,Mg,1863.9999999999998
Be,Al,6583.999999999999
Be,Si,22559.999999999996
Be,P,83.99999999999999
Be,S,13.999999999999998
Be,Ca,4979.999999999999
Be,Mn,37.99999999999999
Be,Fe,4503.999999999999
Be,Zn,16.799999999999997
B,B,0.14285714285714285
B,O,65857.14285714286
B,Cl,20.71428571428571
B,K,2985.7142857142853
B,Zn,10.0
C,H,68000.0
C,C,54.285714285714285
C,O,25025714.285714287
C,Mg,199714.28571428574
C,Al,235142.85714285716
C,P,3000.0
C,S,4000.0
C,Ca,355714.28571428574
C,Cr,291.42857142857144
C,Mn,5428.571428571428
C,Fe,321714.28571428574
C,Cu,685.7142857142858
C,Zn,3800.0
C,As,5.142857142857143
C,U,7.714285714285715
N,H,379.99999999999994
N,N,0.2714285714285714
N,O,125128.57142857142
N,S,94.99999999999999
N,Zn,19.0
O,H,2203580000.0
O,Li,263428.5714285714
O,Be,110639.99999999997
O,B,65857.14285714286
O,C,25025714.285714284
O,N,125128.57142857142
O,O,1923028.5714285714
O,F,11557928.57142857
O,Na,3574725714.285714
O,Mg,6751674285.714285
O,Al,24390192857.142857
O,Si,100287257142.85715
O,P,325005000.0
O,S,149825000.0
O,Cl,15278857.142857142
O,K,2890470000.0
O,Ca,12298821428.571428
O,Ti,695714857.1428571
O,V,6322285.714285714
O,Cr,3358714.285714286
O,Mn,337847142.8571428
O,Fe,26695851428.571426
O,Ni,1659600.0
O,Cu,18176571.428571425
O,Zn,134612000.0
O,As,794237.1428571428
O,Se,987.8571428571429
O,Sr,9746857.142857142
O,Y,651985.7142857143
O,Nb,790285.7142857143
O,Ag,493.9285714285714
O,Cd,2963.5714285714284
O,Sn,121177.14285714284
O,Sb,9220.0
O,Te,92.19999999999999
O,Ba,8396785.714285715
O,La,513685.71428571426
O,Ce,1751800.0
O,W,16464.285714285714
O,Pb,3411400.0
O,U,106688.57142857143
F,H,35100.0
F,O,11557928.57142857
F,F,25.071428571428573
F,Na,591685.7142857143
F,Si,4713428.571428572
F,Ti,139397.14285714287
F,Fe,470507.1428571429
F,Zn,1755.0
F,Y,275.7857142857143
F,Nb,334.28571428571433
F,Ba,3551.7857142857147
F,Ce,555.75
Na,H,7079999.999999999
Na,Li,6742.857142857142
Na,O,3574725714.285714
Na,F,591685.7142857143
Na,Na,8091.428571428571
Na,Mg,47132571.428571425
Na,Al,138734285.7142857
Na,Si,1331039999.9999998
Na,S,707999.9999999999
Na,Cl,48885.71428571428
Na,K,42277714.28571428
Na,Ca,69957142.85714285
Na,Ti,13121599.999999998
Na,Mn,1601428.5714285714
Na,Fe,56943428.57142857
Na,Cu,60685.71428571428
Na,Zn,566399.9999999999
Na,As,1820.5714285714284
Na,Sr,374228.57142857136
Na,Y,11125.714285714284
Na,Nb,20228.571428571428
Na,Ba,286571.4285714285
Na,La,26297.142857142855
Na,Ce,89679.99999999999
Mg,H,17241999.999999996
Mg,Be,1863.9999999999998
Mg,C,199714.28571428568
Mg,O,6751674285.714285
Mg,Na,47132571.428571425
Mg,Mg,14645.714285714284
Mg,Al,438306285.7142857
Mg,Si,1126388571.4285715
Mg,P,1747500.0
Mg,S,698999.9999999999
Mg,Cl,48264.28571428571
Mg,K,20870142.85714286
Mg,Ca,110508571.42857142
Mg,Ti,5552057.142857142
Mg,Mn,7272928.571428571
Mg,Fe,356057285.7142857
Mg,Cu,59914.28571428571
Mg,Zn,1025200.0
Mg,As,5991.428571428571
Mg,Sr,246314.2857142857
Mg,Sn,2296.7142857142853
Mg,Sb,66.57142857142857
Mg,Te,0.9985714285714286
Mg,La,25962.85714285714
Mg,Ce,44270.0
Mg,W,416.07142857142856
Mg,Pb,4660.0
Al,H,65840000.0
Al,Be,6584.0
Al,C,235142.85714285716
Al,O,24390192857.142857
Al,Na,138734285.71428573
Al,Mg,438306285.71428573
Al,Al,55258.571428571435
Al,Si,4310168571.428572
Al,P,7407000.0
Al,S,3292000.0
Al,K,172007000.00000003
Al,Ca,146376428.57142857
Al,Ti,32684857.142857146
Al,V,423257.14285714284
Al,Mn,10052357.142857144
Al,Fe,1323854285.7142859
Al,Ni,197520.0
Al,Cu,211628.57142857142
Al,Zn,3868100.0
Al,As,8465.142857142859
Al,Sn,16224.857142857141
Al,Sb,235.14285714285717
Si,H,208680000.0
Si,Li,161142.85714285713
Si,Be,22559.999999999996
Si,O,100287257142.85715
Si,F,4713428.571428571
Si,Na,1331040000.0
Si,Mg,1126388571.4285715
Si,Al,4310168571.428571
Si,Si,217542.85714285713
Si,P,4230000.0
Si,S,7050000.0
Si,Cl,584142.8571428572
Si,K,1178760000.0
Si,Ca,2340600000.0
Si,Ti,179190857.14285713
Si,V,483428.5714285714
Si,Cr,410914.2857142857
Si,Mn,68888571.42857142
Si,Fe,2041277142.857143
Si,Ni,338400.0
Si,Cu,483428.5714285714
Si,Zn,15228000.0
Si,As,50760.0
Si,Sr,4471714.285714285
Si,Nb,402857.14285714284
Si,Sb,805.7142857142858
Si,Ba,5136428.571428571
Si,La,314228.5714285714
Si,Ce,1071600.0
Si,Pb,338400.0
P,H,945000.0
P,Be,84.0
P,C,3000.0
P,O,325005000.0
P,Mg,1747500.0
P,Al,7407000.0
P,Si,4230000.0
P,P,705.0
P,S,5250.0
P,Ca,6847500.0
P,Mn,171000.0
P,Fe,16045500.0
P,Cu,6300.0
P,Zn,49350.0
P,As,81.0
