from,to,weight
H,H,678.7878787878788
H,Li,509.09090909090907
H,Be,71.27272727272727
H,B,169.6969696969697
H,C,15272.727272727272
H,O,312921212.1212121
H,F,24818.181818181816
H,Na,13015757.575757574
H,Mg,593090.9090909091
H,Al,2094909.0909090908
H,Si,162705454.54545453
H,P,80181.81818181818
H,S,2969.6969696969695
H,Cl,25836.363636363636
H,K,2659999.9999999995
H,Ca,14084848.484848484
H,Ti,424581.8181818182
H,V,1018.1818181818181
H,Mn,185393.9393939394
H,Fe,12420121.212121211
H,Sr,40812.12121212121
H,Y,560.0
H,Zr,112000.0
H,Nb,2545.4545454545455
H,Mo,10.181818181818182
H,Cs,50.90909090909091
H,Ba,10818.181818181818
H,Ce,3385.4545454545455
H,W,31.818181818181817
H,Pb,118.78787878787878
Li,H,509.09090909090907
Li,Li,0.7272727272727273
Li,Be,0.6787878787878787
Li,C,24.242424242424242
Li,O,335272.7272727273
Li,F,141.8181818181818
Li,Na,11442.424242424242
Li,Si,102545.45454545456
Li,P,381.81818181818187
Li,K,7600.0
Li,Ca,10060.60606060606
Li,Ti,673.939393939394
Li,Y,4.0
Li,Zr,120.0
Li,Cs,0.36363636363636365
Be,H,71.27272727272727
Be,Li,0.6787878787878787
Be,Be,0.050909090909090904
Be,O,23469.090909090904
Be,Na,1201.4545454545453
Be,Al,1396.6060606060605
Be,P,53.45454545454545
Be,K,709.3333333333333
Be,Zr,8.399999999999999
Be,Cs,0.050909090909090904
B,H,169.6969696969697
B,B,0.18181818181818182
B,O,83818.18181818182
B,Na,2860.6060606060605
B,Al,4987.878787878788
B,Si,34181.818181818184
B,Ca,2515.151515151515
B,Sr,44.84848484848485
B,Zr,30.0
B,Ba,25.757575757575758
C,H,15272.727272727272
C,Li,24.242424242424242
C,C,12.121212121212121
C,O,5587878.787878788
C,F,709.0909090909091
C,Na,286060.6060606061
C,Si,2050909.0909090908
C,P,2545.4545454545455
C,Ca,352121.21212121216
C,Ti,6739.39393939394
C,V,145.45454545454547
C,Mn,4606.060606060606
C,Fe,136484.84848484848
C,Sr,896.969696969697
C,Y,40.0
C,Zr,2000.0
C,Nb,96.96969696969697
C,Ce,161.21212121212122
C,W,1.5151515151515151
O,H,312921212.1212121
O,Li,335272.7272727273
O,Be,23469.090909090908
O,B,83818.18181818182
O,C,5587878.787878788
O,O,391151.51515151514
O,F,29420181.818181816
O,Na,5472768484.848485
O,Mg,520790303.03030306
O,Al,2069470909.090909
O,Si,80364872727.27274
O,P,29336363.636363637
O,S,977878.7878787878
O,Cl,8507545.454545455
O,K,1284653333.3333335
O,Ca,8812084848.484848
O,Sc,122933.33333333334
O,Ti,559234909.0909091
O,V,335272.7272727273
O,Cr,1139927.2727272727
O,Mn,84935757.57575758
O,Fe,6449250303.030303
O,Sr,18607636.363636363
O,Y,461000.0
O,Zr,64540000.0
O,Nb,1117575.7575757576
O,Mo,3352.7272727272725
O,Sn,6426.060606060606
O,Sb,1117.5757575757577
O,Cs,16763.636363636364
O,Ba,5937121.212121212
O,La,217927.27272727274
O,Ce,1857969.696969697
O,Ta,5587.878787878788
O,W,10477.272727272728
O,Pb,39115.15151515152
O,U,7543.636363636364
F,H,24818.18181818182
F,Li,141.8181818181818
F,C,709.0909090909091
F,O,29420181.818181816
F,F,63.81818181818182
F,Na,1422436.3636363635
F,Si,16996909.09090909
F,P,3722.7272727272725
F,K,222300.0
F,Ca,2059909.090909091
F,Ti,137989.0909090909
F,Mn,26945.454545454544
F,Fe,998045.4545454546
F,Y,117.0
F,Zr,10530.0
F,Nb,283.6363636363636
Na,H,13015757.575757576
Na,Li,11442.424242424242
Na,Be,1201.4545454545453
Na,B,2860.6060606060605
Na,C,286060.6060606061
Na,O,5472768484.848485
Na,F,1422436.3636363638
Na,Na,11871.515151515152
Na,Al,23542787.87878788
Na,Si,3025090909.090909
Na,P,1051272.7272727273
Na,Cl,435527.27272727276
Na,K,35872000.0
Na,Ca,278980606.06060606
Na,Ti,9542981.818181818
Na,V,17163.636363636364
Na,Mn,3940484.848484848
Na,Fe,225472969.6969697
Na,Sr,687975.7575757576
Na,Y,9440.0
Na,Zr,1958800.0
Na,Nb,45769.69696969697
Na,Cs,858.1818181818182
Na,Ba,60787.87878787879
Na,Ce,57069.09090909091
Na,W,536.3636363636364
Mg,H,593090.9090909091
Mg,O,520790303.03030306
Mg,Mg,1129.6969696969697
Mg,Al,34865272.72727273
Mg,Si,39821818.18181819
Mg,P,148272.72727272726
Mg,K,2951333.3333333335
Mg,Ca,23441212.12121212
Mg,Sc,3106.666666666667
Mg,Ti,4710836.363636363
Mg,Cr,57614.545454545456
Mg,Fe,23850727.272727273
Mg,Sr,104496.9696969697
Mg,Zr,186400.0
Mg,Nb,2824.2424242424245
Mg,Ba,120030.30303030304
Mg,La,5507.272727272728
Mg,Ce,9390.606060606062
Al,H,2094909.0909090913
Al,Be,1396.6060606060605
Al,B,4987.878787878788
Al,O,2069470909.090909
Al,Na,23542787.87878788
Al,Mg,34865272.72727273
Al,Al,4489.090909090909
Al,Si,281316363.6363636
Al,P,1047454.5454545455
Al,K,10424666.666666668
Al,Ca,103498484.84848484
Al,Sc,10973.333333333334
Al,Ti,11093042.424242424
Al,Cr,50876.36363636364
Al,Fe,28081757.575757578
Al,Y,16460.0
Al,Zr,740700.0
Al,La,19452.727272727272
Al,Ce,33169.39393939394
Si,H,162705454.54545453
Si,Li,102545.45454545453
Si,B,34181.81818181818
Si,C,2050909.0909090908
Si,O,80364872727.27272
Si,F,16996909.09090909
Si,Na,3025090909.090909
Si,Mg,39821818.18181818
Si,Al,281316363.6363636
Si,Si,174327.2727272727
Si,P,1794545.4545454544
Si,Cl,5204181.818181817
Si,K,642960000.0
Si,Ca,4042854545.454545
Si,Ti,171045818.18181816
Si,V,205090.9090909091
Si,Mn,48709090.90909091
Si,Fe,3079098181.8181815
Si,Sr,9485454.545454545
Si,Y,112800.0
Si,Zr,28764000.0
Si,Nb,546909.0909090908
Si,Cs,5127.272727272727
Si,Ba,2179090.909090909
Si,La,66654.54545454546
Si,Ce,795581.8181818182
Si,W,6409.090909090908
Si,Pb,23927.272727272728
P,H,80181.81818181818
P,Li,381.8181818181818
P,Be,53.45454545454545
P,C,2545.4545454545455
P,O,29336363.636363633
P,F,3722.7272727272725
P,Na,1051272.7272727273
P,Mg,148272.72727272726
P,Al,1047454.5454545454
P,Si,1794545.4545454544
P,P,63.63636363636363
P,K,399000.0
P,Ca,264090.90909090906
P,Mn,6045.454545454545
P,Fe,716545.4545454545
P,Y,210.0
P,Zr,10500.0
P,Cs,19.09090909090909
P,Ce,423.1818181818182
S,H,2969.6969696969695
S,O,977878.7878787878
S,S,2.121212121212121
S,Ti,11793.939393939394
S,Zr,350.0
Cl,H,25836.363636363636
Cl,O,8507545.454545453
Cl,Na,435527.27272727276
Cl,Si,5204181.818181818
Cl,Cl,18.454545454545453
Cl,K,73466.66666666667
Cl,Ca,729393.9393939393
Cl,Ti,14658.181818181818
Cl,Mn,8348.484848484848
Cl,Fe,841087.8787878788
Cl,Sr,2601.212121212121
